2021-10-01 23:01:05 UTC Syncing #13336291 0x6a37…2c2a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#11236084 LI:#13336310    9/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:01:14 UTC Syncing #13336292 0x54f6…11db     0.20 blk/s   73.2 tx/s    5.9 Mgas/s      0+   17 Qed Ancient:#11236085 LI:#13336310    9/25 peers      8 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:01:14 UTC Syncing #13336293 0x811f…b325     0.20 blk/s   40.1 tx/s    3.4 Mgas/s      0+   16 Qed Ancient:#11236086 LI:#13336310    9/25 peers      8 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:01:21 UTC Syncing #13336293 0x811f…b325     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11236086 LI:#13336310    9/25 peers      8 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:01:24 UTC Syncing #13336293 0x811f…b325     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#11236086 LI:#13336312    9/25 peers      8 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:01:29 UTC Syncing #13336293 0x811f…b325     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#11236086 LI:#13336312    8/25 peers      8 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:01:37 UTC Syncing #13336294 0xac30…8ea2     0.20 blk/s   60.8 tx/s    6.0 Mgas/s      0+   17 Qed Ancient:#11236087 LI:#13336312    8/25 peers      7 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:01:44 UTC Syncing #13336296 0xc4eb…0665     0.20 blk/s   14.8 tx/s    1.7 Mgas/s      0+   16 Qed Ancient:#11236088 LI:#13336312    8/25 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:01:44 UTC Syncing #13336295 0x0f32…474b     0.20 blk/s   12.2 tx/s    1.5 Mgas/s      0+   16 Qed Ancient:#11236088 LI:#13336312    8/25 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:01:53 UTC Syncing #13336296 0xc4eb…0665     0.20 blk/s   17.4 tx/s    1.9 Mgas/s      0+   16 Qed Ancient:#11236089 LI:#13336313    8/25 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:01:54 UTC Syncing #13336296 0xc4eb…0665     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11236089 LI:#13336313    8/25 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:02:00 UTC Syncing #13336297 0x5783…10a7     0.20 blk/s   32.2 tx/s    3.2 Mgas/s      0+   15 Qed Ancient:#11236090 LI:#13336313    8/25 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
