2021-10-01 22:55:49 UTC Syncing #13336254 0x6912…fdb0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#11233514 LI:#13336254    4/25 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:55:54 UTC Syncing #13336254 0x6912…fdb0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#11233514 LI:#13336280    2/25 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:55:59 UTC Syncing #13336254 0x6912…fdb0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#11233514 LI:#13336280    2/25 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:56:04 UTC Syncing #13336255 0x8e4e…5e8e     0.20 blk/s   54.2 tx/s    5.6 Mgas/s      0+   26 Qed Ancient:#11233515 LI:#13336280    2/25 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:56:09 UTC Syncing #13336255 0x8e4e…5e8e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#11233515 LI:#13336280    2/25 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:56:14 UTC Syncing #13336255 0x8e4e…5e8e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   32 Qed Ancient:#11233515 LI:#13336286    5/25 peers      4 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:56:25 UTC Syncing #13336256 0x2b45…0e04     0.10 blk/s   17.0 tx/s    1.6 Mgas/s      0+   31 Qed Ancient:#11233516 LI:#13336286    6/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:56:25 UTC Syncing #13336256 0x2b45…0e04     0.20 blk/s   34.0 tx/s    3.1 Mgas/s      0+   31 Qed Ancient:#11233516 LI:#13336286    6/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:56:29 UTC Syncing #13336256 0x2b45…0e04     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#11233516 LI:#13336286    6/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:56:36 UTC Syncing #13336259 0x0b45…855f     0.60 blk/s   50.0 tx/s    4.8 Mgas/s      0+   29 Qed Ancient:#11233519 LI:#13336287    6/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
