2021-10-02 05:41:29 UTC Syncing #13338027 0xd8b0…3fc9     0.20 blk/s   50.6 tx/s    6.0 Mgas/s      0+   27 Qed Ancient:#11334927 LI:#13338056   12/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:41:30 UTC Syncing #13338027 0xd8b0…3fc9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#11334927 LI:#13338056   12/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:41:35 UTC Syncing #13338027 0xd8b0…3fc9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#11334927 LI:#13338056   12/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:41:40 UTC Syncing #13338027 0xd8b0…3fc9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#11334927 LI:#13338056   12/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:41:45 UTC Syncing #13338027 0xd8b0…3fc9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#11334927 LI:#13338056   12/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:41:50 UTC Syncing #13338027 0xd8b0…3fc9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#11334927 LI:#13338056   12/25 peers      9 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:41:55 UTC Syncing #13338027 0xd8b0…3fc9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#11334927 LI:#13338056   13/25 peers      6 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:42:00 UTC Syncing #13338027 0xd8b0…3fc9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   29 Qed Ancient:#11334927 LI:#13338057   14/25 peers      6 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:42:14 UTC Syncing #13338028 0x67dd…955a     0.10 blk/s   43.0 tx/s    3.0 Mgas/s      0+   29 Qed Ancient:#11334929 LI:#13338058   15/25 peers    757 KiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:42:14 UTC Syncing #13338028 0x67dd…955a     0.20 blk/s   86.0 tx/s    6.0 Mgas/s      0+   29 Qed Ancient:#11334929 LI:#13338058   15/25 peers      6 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 05:42:15 UTC Syncing #13338028 0x67dd…955a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   30 Qed Ancient:#11334929 LI:#13338059   15/25 peers    757 KiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
