2021-09-21 20:24:39 UTC Syncing #13271265 0x08e7…1d88     0.20 blk/s   45.6 tx/s    3.5 Mgas/s      0+    5 Qed Ancient:#5450920 LI:#13271271    1/25 peers    215 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:24:43 UTC Syncing #13271265 0x08e7…1d88     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5450920 LI:#13271271    1/25 peers    215 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:24:51 UTC Syncing #13271266 0x1fbc…1a70     0.20 blk/s   51.2 tx/s    3.5 Mgas/s      0+    5 Qed Ancient:#5450920 LI:#13271272    1/25 peers    215 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:24:53 UTC Syncing #13271266 0x1fbc…1a70     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5450920 LI:#13271272    1/25 peers    215 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:24:58 UTC Syncing #13271266 0x1fbc…1a70     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5450920 LI:#13271272    1/25 peers    215 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:25:03 UTC Syncing #13271266 0x1fbc…1a70     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5450920 LI:#13271273    1/25 peers    215 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:25:13 UTC Syncing #13271267 0xe5a5…f77b     0.20 blk/s   73.4 tx/s    4.9 Mgas/s      0+    5 Qed Ancient:#5450920 LI:#13271273    1/25 peers    356 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:25:13 UTC Syncing #13271267 0xe5a5…f77b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5450920 LI:#13271274    1/25 peers    356 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:25:24 UTC Syncing #13271269 0x1d40…6ca1     0.20 blk/s   25.4 tx/s    1.9 Mgas/s      0+    4 Qed Ancient:#5450920 LI:#13271274    1/25 peers    356 KiB chain  881 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:25:24 UTC Syncing #13271269 0x1d40…6ca1     0.40 blk/s   50.8 tx/s    3.8 Mgas/s      0+    4 Qed Ancient:#5450920 LI:#13271274    1/25 peers    356 KiB chain  881 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:25:38 UTC Syncing #13271271 0xb168…7af5     0.13 blk/s   15.4 tx/s    1.2 Mgas/s      0+    4 Qed Ancient:#5450920 LI:#13271276    1/25 peers    356 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:25:43 UTC Syncing #13271271 0xb168…7af5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#5450920 LI:#13271276    1/25 peers    356 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:25:48 UTC Syncing #13271272 0x8e46…6ef5     0.20 blk/s   50.8 tx/s    4.2 Mgas/s      0+    4 Qed Ancient:#5450920 LI:#13271277    1/25 peers    356 KiB chain  938 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:25:54 UTC Syncing #13271272 0x8e46…6ef5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#5450920 LI:#13271277    1/25 peers    356 KiB chain  938 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:25:58 UTC Syncing #13271272 0x8e46…6ef5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#5450920 LI:#13271277    1/25 peers    356 KiB chain  938 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:26:03 UTC Syncing #13271272 0x8e46…6ef5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#5450920 LI:#13271277    2/25 peers    356 KiB chain  938 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:26:36 UTC Imported #13271278 0x7b96…31be (282 txs, 22.23 Mgas, 6939 ms, 139.84 KiB)
2021-09-21 20:26:36 UTC  Ancient:#5450920 AB:#5450920    1/25 peers      1 MiB chain  318 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:26:46 UTC Imported #13271282 0x51f9…0004 (128 txs, 5.56 Mgas, 1478 ms, 30.46 KiB)
2021-09-21 20:27:08 UTC  Ancient:#5451047 AB:#5451047    6/25 peers      3 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:28:27 UTC  Ancient:#5451047 AB:#5451047    1/25 peers      3 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
