2021-09-21 20:16:04 UTC Syncing #13271228 0x57c9…4255     0.40 blk/s  161.8 tx/s    6.7 Mgas/s      0+    6 Qed Ancient:#5446809 LI:#13271236    5/25 peers    522 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:16:09 UTC Syncing #13271230 0x4603…aa6c     0.40 blk/s   25.2 tx/s    1.7 Mgas/s      0+    5 Qed Ancient:#5446811 LI:#13271236    5/25 peers    523 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:16:13 UTC Syncing #13271230 0x4603…aa6c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5446811 LI:#13271237    5/25 peers    523 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:16:18 UTC Syncing #13271230 0x4603…aa6c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5446811 LI:#13271237    5/25 peers    523 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:16:23 UTC Syncing #13271230 0x4603…aa6c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5446811 LI:#13271238    5/25 peers    523 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:16:28 UTC Syncing #13271230 0x4603…aa6c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5446811 LI:#13271238    6/25 peers    523 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:16:33 UTC Syncing #13271230 0x4603…aa6c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5446811 LI:#13271239    8/25 peers    523 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:16:38 UTC Syncing #13271230 0x4603…aa6c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5446811 LI:#13271239   11/25 peers    523 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:16:43 UTC Syncing #13271230 0x4603…aa6c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5446811 LI:#13271240   15/25 peers    523 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:16:56 UTC Syncing #13271231 0xc112…d147     0.10 blk/s   57.3 tx/s    2.8 Mgas/s      0+    8 Qed Ancient:#5446812 LI:#13271240   19/25 peers    523 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:16:56 UTC Syncing #13271231 0xc112…d147     0.20 blk/s  114.6 tx/s    5.7 Mgas/s      0+    8 Qed Ancient:#5446812 LI:#13271240   19/25 peers    523 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:16:58 UTC Syncing #13271232 0x6363…2848     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5446812 LI:#13271240   19/25 peers    803 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:17:03 UTC Syncing #13271232 0x6363…2848     0.20 blk/s   24.4 tx/s    1.9 Mgas/s      0+    7 Qed Ancient:#5446813 LI:#13271240   19/25 peers    803 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:17:08 UTC Syncing #13271232 0x6363…2848     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5446813 LI:#13271241   19/25 peers    803 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:17:13 UTC Syncing #13271232 0x6363…2848     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#5446813 LI:#13271243   18/25 peers    803 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:17:18 UTC Syncing #13271232 0x6363…2848     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#5446813 LI:#13271243   17/25 peers    803 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:17:23 UTC Syncing #13271232 0x6363…2848     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#5446813 LI:#13271244   17/25 peers    803 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:17:29 UTC Syncing #13271233 0xb2f4…d2f1     0.20 blk/s   55.2 tx/s    4.2 Mgas/s      0+   10 Qed Ancient:#5446819 LI:#13271244   17/25 peers    804 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:17:36 UTC Syncing #13271234 0x30e4…9232     0.20 blk/s   23.6 tx/s    1.4 Mgas/s      0+    9 Qed Ancient:#5446820 LI:#13271244   17/25 peers    805 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:17:42 UTC Syncing #13271235 0xfc4b…d816     0.20 blk/s   20.8 tx/s    1.6 Mgas/s      0+    9 Qed Ancient:#5446821 LI:#13271245   13/25 peers    805 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:17:53 UTC Syncing #13271235 0xfc4b…d816     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5446821 LI:#13271245   15/25 peers    805 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:18:00 UTC Syncing #13271236 0xe13c…ecae     0.15 blk/s   57.4 tx/s    2.6 Mgas/s      0+    9 Qed Ancient:#5447313 LI:#13271245    9/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:18:11 UTC Syncing #13271237 0xf31d…084c     0.11 blk/s   14.3 tx/s    0.9 Mgas/s      0+    9 Qed Ancient:#5447599 LI:#13271246    9/25 peers      9 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:18:11 UTC Syncing #13271236 0xe13c…ecae     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5447314 LI:#13271246    9/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:18:11 UTC Syncing #13271237 0xf31d…084c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5447600 LI:#13271246    9/25 peers      9 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:18:19 UTC Syncing #13271237 0xf31d…084c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5447601 LI:#13271246    9/25 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
