2021-09-21 20:42:11 UTC Syncing #13271352 0x8bc4…6ebc     0.20 blk/s   21.2 tx/s    1.3 Mgas/s      0+    6 Qed Ancient:#5463705 LI:#13271358   12/25 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:42:15 UTC Syncing #13271353 0xcb29…c7fd     0.20 blk/s   17.0 tx/s    1.3 Mgas/s      0+    5 Qed Ancient:#5463706 LI:#13271358   12/25 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:42:19 UTC Syncing #13271354 0x1ff0…c8b2     0.20 blk/s   13.0 tx/s    1.4 Mgas/s      0+    5 Qed Ancient:#5463707 LI:#13271359   10/25 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:42:26 UTC Syncing #13271355 0xeba7…41df     0.20 blk/s   26.2 tx/s    1.9 Mgas/s      0+    6 Qed Ancient:#5463708 LI:#13271361    7/25 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:42:29 UTC Syncing #13271355 0xeba7…41df     0.20 blk/s   26.6 tx/s    1.8 Mgas/s      0+    6 Qed Ancient:#5463709 LI:#13271362    6/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:42:34 UTC Syncing #13271355 0xeba7…41df     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5463709 LI:#13271362    7/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:42:39 UTC Syncing #13271355 0xeba7…41df     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5463709 LI:#13271363    9/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:42:41 UTC Reorg to #13271356 0xe417…a89a (0xeba7…41df #13271354 0x1ff0…c8b2 0x859c…5cce)
2021-09-21 20:42:45 UTC Syncing #13271356 0xe417…a89a     0.20 blk/s   51.6 tx/s    5.7 Mgas/s      0+    6 Qed Ancient:#5463710 LI:#13271363   10/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:42:54 UTC Syncing #13271358 0x96dd…66f8     0.40 blk/s   25.4 tx/s    2.1 Mgas/s      0+    4 Qed Ancient:#5463712 LI:#13271363   13/25 peers      2 MiB chain  574 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:42:59 UTC Syncing #13271358 0x96dd…66f8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#5463712 LI:#13271363   11/25 peers      2 MiB chain  574 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:42:59 UTC Syncing #13271358 0x96dd…66f8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5463712 LI:#13271364    8/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:43:04 UTC Syncing #13271358 0x96dd…66f8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5463712 LI:#13271364    7/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:43:14 UTC Syncing #13271358 0x96dd…66f8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5463712 LI:#13271364    8/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:43:14 UTC Syncing #13271359 0x5cbb…19e0     0.20 blk/s   58.2 tx/s    5.5 Mgas/s      0+    4 Qed Ancient:#5463713 LI:#13271364    8/25 peers      2 MiB chain  981 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:43:44 UTC  Ancient:#5463717 AB:#5467004    7/25 peers      2 MiB chain  533 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:44:04 UTC Syncing #13271364 0x4f94…1761     0.05 blk/s   18.6 tx/s    1.5 Mgas/s      0+    5 Qed Ancient:#5463718 LI:#13271370   10/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:44:11 UTC Syncing #13271364 0x4f94…1761     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5463718 LI:#13271370   10/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:44:14 UTC Syncing #13271364 0x4f94…1761     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5463718 LI:#13271370    8/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:44:24 UTC Syncing #13271365 0xc917…a0f9     0.20 blk/s   61.6 tx/s    6.0 Mgas/s      0+    5 Qed Ancient:#5463719 LI:#13271371    8/25 peers      2 MiB chain  977 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:44:27 UTC Syncing #13271365 0xc917…a0f9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5463719 LI:#13271371    8/25 peers      2 MiB chain  977 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:44:29 UTC Syncing #13271365 0xc917…a0f9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5463719 LI:#13271372    6/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:44:34 UTC Syncing #13271365 0xc917…a0f9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5463719 LI:#13271372    8/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:44:43 UTC Syncing #13271366 0x6cfe…f330     0.20 blk/s   49.8 tx/s    4.7 Mgas/s      0+    5 Qed Ancient:#5463720 LI:#13271372    7/25 peers      2 MiB chain  889 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:44:44 UTC Syncing #13271366 0x6cfe…f330     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5463720 LI:#13271374    6/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:44:53 UTC Syncing #13271367 0x1108…5ea4     0.20 blk/s   25.6 tx/s    2.0 Mgas/s      0+    6 Qed Ancient:#5463721 LI:#13271374    6/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:45:00 UTC Syncing #13271368 0xb8ca…7989     0.10 blk/s   11.1 tx/s    0.9 Mgas/s      0+    6 Qed Ancient:#5463722 LI:#13271375    6/25 peers      2 MiB chain  987 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:45:00 UTC Syncing #13271368 0xb8ca…7989     0.20 blk/s   22.2 tx/s    1.8 Mgas/s      0+    6 Qed Ancient:#5463722 LI:#13271375    6/25 peers      2 MiB chain  987 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:45:07 UTC Syncing #13271370 0xf252…bf84     0.40 blk/s   23.8 tx/s    2.7 Mgas/s      0+    5 Qed Ancient:#5463724 LI:#13271376    6/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
