2021-09-21 20:51:41 UTC Syncing #13271403 0x0c7f…4e81     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5469765 LI:#13271412    6/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:51:45 UTC Syncing #13271403 0x0c7f…4e81     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5469765 LI:#13271412    9/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:51:49 UTC Syncing #13271403 0x0c7f…4e81     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5469765 LI:#13271412   12/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:51:54 UTC Syncing #13271403 0x0c7f…4e81     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5469765 LI:#13271412   12/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:51:59 UTC Syncing #13271404 0xdd6f…4417     0.20 blk/s   43.2 tx/s    3.9 Mgas/s      0+    8 Qed Ancient:#5469766 LI:#13271413   14/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:52:11 UTC Syncing #13271404 0xdd6f…4417     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5469766 LI:#13271414   11/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:52:11 UTC Syncing #13271405 0xfd59…bf70     0.15 blk/s    7.6 tx/s    1.0 Mgas/s      0+    8 Qed Ancient:#5469768 LI:#13271414   11/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:52:14 UTC Syncing #13271405 0xfd59…bf70     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5469768 LI:#13271414   12/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:52:19 UTC Syncing #13271405 0xfd59…bf70     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5469768 LI:#13271414   14/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:52:24 UTC Syncing #13271405 0xfd59…bf70     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5469768 LI:#13271414   14/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:52:30 UTC Syncing #13271405 0xfd59…bf70     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5469768 LI:#13271414   13/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 20:52:44 UTC Syncing #13271405 0xfd59…bf70     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5469768 LI:#13271414   13/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
