2021-09-22 04:27:31 UTC Syncing #13273421 0x1168…6c86     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#5709394 LI:#13273434    9/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:27:36 UTC Syncing #13273421 0x1168…6c86     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#5709394 LI:#13273434    9/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:27:45 UTC Syncing #13273423 0xdb12…bac8     0.40 blk/s   32.2 tx/s    3.4 Mgas/s      0+   11 Qed Ancient:#5709396 LI:#13273434    9/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:27:55 UTC Syncing #13273423 0xdb12…bac8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#5709397 LI:#13273434    9/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:27:55 UTC Syncing #13273423 0xdb12…bac8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#5709397 LI:#13273434    9/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:28:04 UTC Syncing #13273424 0xcee3…b359     0.10 blk/s    9.4 tx/s    1.1 Mgas/s      0+    9 Qed Ancient:#5709398 LI:#13273434    9/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:28:04 UTC Syncing #13273424 0xcee3…b359     0.20 blk/s   18.8 tx/s    2.1 Mgas/s      0+    9 Qed Ancient:#5709398 LI:#13273434    9/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:28:06 UTC Syncing #13273424 0xcee3…b359     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5709398 LI:#13273434    9/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:28:14 UTC Syncing #13273425 0x3252…5412     0.20 blk/s   27.8 tx/s    2.6 Mgas/s      0+    8 Qed Ancient:#5709400 LI:#13273434    9/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:28:26 UTC Syncing #13273426 0x4ac9…2b96     0.10 blk/s    9.7 tx/s    1.0 Mgas/s      0+    8 Qed Ancient:#5709402 LI:#13273435    8/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:28:26 UTC Syncing #13273426 0x4ac9…2b96     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5709402 LI:#13273435    8/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:28:26 UTC Syncing #13273426 0x4ac9…2b96     0.20 blk/s   19.4 tx/s    2.0 Mgas/s      0+    8 Qed Ancient:#5709402 LI:#13273435    8/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:28:38 UTC Syncing #13273428 0xffa8…2a3a     0.20 blk/s   14.1 tx/s    1.6 Mgas/s      0+    7 Qed Ancient:#5709404 LI:#13273436    7/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:28:38 UTC Syncing #13273428 0xffa8…2a3a     0.40 blk/s   28.2 tx/s    3.3 Mgas/s      0+    7 Qed Ancient:#5709404 LI:#13273436    7/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:28:44 UTC Syncing #13273428 0xffa8…2a3a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5709404 LI:#13273436    7/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:28:46 UTC Syncing #13273428 0xffa8…2a3a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5709404 LI:#13273437    7/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:28:51 UTC Syncing #13273428 0xffa8…2a3a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5709404 LI:#13273437    7/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:28:56 UTC Syncing #13273428 0xffa8…2a3a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5709404 LI:#13273437    9/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:29:07 UTC Syncing #13273429 0x9d46…2991     0.09 blk/s   24.4 tx/s    2.6 Mgas/s      0+    8 Qed Ancient:#5709405 LI:#13273437   11/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:29:27 UTC Syncing #13273429 0x9d46…2991     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#5710077 LI:#13273440   10/25 peers      7 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:29:56 UTC Syncing #13273429 0x9d46…2991     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#5710340 LI:#13273442    9/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:29:56 UTC Syncing #13273429 0x9d46…2991     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#5710340 LI:#13273442    9/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:30:08 UTC Syncing #13273430 0x34fd…c29c     0.21 blk/s   59.9 tx/s    4.7 Mgas/s      0+   12 Qed Ancient:#5710341 LI:#13273444    9/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:30:08 UTC Syncing #13273430 0x34fd…c29c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#5710341 LI:#13273444    9/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:30:17 UTC Syncing #13273431 0x188d…a3d8     0.41 blk/s   42.7 tx/s    6.3 Mgas/s      0+   12 Qed Ancient:#5710342 LI:#13273444    9/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:30:17 UTC Syncing #13273432 0xe78c…deb7     0.16 blk/s    9.3 tx/s    1.1 Mgas/s      0+   11 Qed Ancient:#5710343 LI:#13273444    9/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:30:25 UTC Syncing #13273432 0xe78c…deb7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#5710343 LI:#13273445    9/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:30:26 UTC Syncing #13273432 0xe78c…deb7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#5710343 LI:#13273446    9/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:30:31 UTC Syncing #13273432 0xe78c…deb7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#5710343 LI:#13273446    8/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:30:51 UTC Syncing #13273433 0x5048…8d19     0.20 blk/s  133.4 tx/s    6.0 Mgas/s      0+   13 Qed Ancient:#5710344 LI:#13273446    8/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:30:52 UTC Syncing #13273433 0x5048…8d19     0.10 blk/s   66.7 tx/s    3.0 Mgas/s      0+   13 Qed Ancient:#5710344 LI:#13273447    8/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:30:52 UTC Syncing #13273433 0x5048…8d19     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#5710344 LI:#13273449    8/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
