2021-09-22 04:32:02 UTC Syncing #13273441 0x45f3…c716     0.40 blk/s   44.4 tx/s    4.8 Mgas/s      0+   13 Qed Ancient:#5710352 LI:#13273454    8/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:32:09 UTC Syncing #13273441 0x45f3…c716     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#5710352 LI:#13273454    8/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:32:15 UTC Syncing #13273444 0x9997…63f1     0.60 blk/s   83.6 tx/s    8.3 Mgas/s      0+   11 Qed Ancient:#5710355 LI:#13273454    8/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:32:25 UTC Syncing #13273445 0x76db…b5c6     0.20 blk/s   36.2 tx/s    3.3 Mgas/s      0+    9 Qed Ancient:#5710356 LI:#13273454    8/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:32:25 UTC Syncing #13273446 0xffa2…1049     0.30 blk/s   27.4 tx/s    2.5 Mgas/s      0+    7 Qed Ancient:#5710358 LI:#13273454    8/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:32:33 UTC Syncing #13273446 0xffa2…1049     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5710358 LI:#13273455    8/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:32:33 UTC Syncing #13273449 0x29df…0635     0.30 blk/s   42.6 tx/s    3.8 Mgas/s      0+    5 Qed Ancient:#5710361 LI:#13273455    8/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:32:41 UTC Syncing #13273449 0x29df…0635     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5710361 LI:#13273455    7/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:32:41 UTC Syncing #13273449 0x29df…0635     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5710361 LI:#13273456    7/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:32:46 UTC Syncing #13273449 0x29df…0635     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5710361 LI:#13273457    7/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:32:51 UTC Syncing #13273449 0x29df…0635     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5710361 LI:#13273459    7/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:32:56 UTC Syncing #13273449 0x29df…0635     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5710361 LI:#13273459    7/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:33:01 UTC Syncing #13273449 0x29df…0635     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5710361 LI:#13273459    8/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:33:06 UTC Syncing #13273449 0x29df…0635     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5710361 LI:#13273459   10/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:33:11 UTC Syncing #13273449 0x29df…0635     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5710361 LI:#13273459   10/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:33:17 UTC Syncing #13273450 0x4636…21ee     0.20 blk/s   82.0 tx/s    6.0 Mgas/s      0+    8 Qed Ancient:#5710364 LI:#13273459   12/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:33:23 UTC Syncing #13273450 0x4636…21ee     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5710364 LI:#13273460   12/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:33:26 UTC Syncing #13273450 0x4636…21ee     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5710364 LI:#13273460   13/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:33:41 UTC Syncing #13273450 0x4636…21ee     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#5710364 LI:#13273461   16/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:33:41 UTC Syncing #13273450 0x4636…21ee     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#5710364 LI:#13273461   16/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:33:41 UTC Syncing #13273450 0x4636…21ee     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#5710364 LI:#13273461   16/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:33:53 UTC Syncing #13273452 0x449e…2338     0.40 blk/s   56.2 tx/s    5.5 Mgas/s      0+    8 Qed Ancient:#5710366 LI:#13273461   13/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:33:53 UTC Syncing #13273453 0xa1a3…1e4f     0.30 blk/s   36.6 tx/s    3.6 Mgas/s      0+    7 Qed Ancient:#5710367 LI:#13273461   13/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:34:04 UTC Syncing #13273454 0xd011…6ad1     0.10 blk/s    6.4 tx/s    0.6 Mgas/s      0+    7 Qed Ancient:#5710368 LI:#13273462   13/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:34:04 UTC Syncing #13273453 0xa1a3…1e4f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5710367 LI:#13273462   13/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:34:18 UTC Syncing #13273454 0xd011…6ad1     0.20 blk/s   12.8 tx/s    1.3 Mgas/s      0+    9 Qed Ancient:#5710368 LI:#13273464   12/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:34:18 UTC Syncing #13273455 0x3861…520c     0.20 blk/s   44.2 tx/s    3.6 Mgas/s      0+    8 Qed Ancient:#5710369 LI:#13273464   10/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:34:18 UTC Syncing #13273455 0x3861…520c     0.10 blk/s   37.8 tx/s    3.0 Mgas/s      0+    8 Qed Ancient:#5710369 LI:#13273464   10/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:34:27 UTC Syncing #13273456 0x9949…067a     0.20 blk/s   57.4 tx/s    5.9 Mgas/s      0+    7 Qed Ancient:#5710370 LI:#13273464   10/25 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:34:27 UTC Syncing #13273456 0x9949…067a     0.10 blk/s   28.7 tx/s    3.0 Mgas/s      0+    7 Qed Ancient:#5710370 LI:#13273464   10/25 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:34:36 UTC Syncing #13273459 0xe5f3…75c4     0.30 blk/s   39.7 tx/s    4.5 Mgas/s      0+    5 Qed Ancient:#5710373 LI:#13273465   10/25 peers      3 MiB chain  973 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:34:36 UTC Syncing #13273458 0x801c…9367     0.40 blk/s   70.0 tx/s    7.3 Mgas/s      0+    6 Qed Ancient:#5710372 LI:#13273465   10/25 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:34:43 UTC Syncing #13273459 0xe5f3…75c4     0.20 blk/s    9.4 tx/s    1.8 Mgas/s      0+    5 Qed Ancient:#5710373 LI:#13273465   10/25 peers      3 MiB chain  973 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:35:59 UTC Syncing #13273466 0x5ac9…c2da     0.09 blk/s   16.3 tx/s    1.5 Mgas/s      0+    8 Qed Ancient:#5712457 LI:#13273474    6/25 peers    0 bytes chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:37:04 UTC Syncing #13273466 0x5ac9…c2da     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#5713779 LI:#13273476    4/25 peers    0 bytes chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
