2021-09-21 23:09:48 UTC Syncing #13271995 0x4418…0e83     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#5564997 LI:#13272013    3/25 peers    145 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:10:16 UTC Syncing #13271999 0x26f1…0c3b     0.24 blk/s   25.8 tx/s    2.5 Mgas/s      0+   14 Qed Ancient:#5565363 LI:#13272013    3/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:10:16 UTC Syncing #13271998 0x2713…bcac     0.36 blk/s   48.7 tx/s    4.6 Mgas/s      0+   15 Qed Ancient:#5565034 LI:#13272013    3/25 peers    640 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:10:16 UTC Syncing #13271999 0x26f1…0c3b     0.09 blk/s    3.4 tx/s    0.3 Mgas/s      0+   14 Qed Ancient:#5565363 LI:#13272013    3/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:10:16 UTC Syncing #13271997 0x3f0a…59fd     0.62 blk/s   65.5 tx/s    5.7 Mgas/s      0+   15 Qed Ancient:#5564999 LI:#13272013    3/25 peers    215 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:10:16 UTC Syncing #13271999 0x26f1…0c3b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#5565363 LI:#13272013    3/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:10:34 UTC Syncing #13272001 0xbc10…2666     0.17 blk/s   15.5 tx/s    1.5 Mgas/s      0+   11 Qed Ancient:#5565363 LI:#13272013    3/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:10:34 UTC Syncing #13271999 0x26f1…0c3b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#5565363 LI:#13272013    3/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:10:34 UTC Syncing #13272001 0xbc10…2666     0.12 blk/s   10.8 tx/s    1.1 Mgas/s      0+   11 Qed Ancient:#5565363 LI:#13272013    3/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:10:58 UTC Syncing #13272001 0xbc10…2666     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#5565363 LI:#13272013    2/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:10:58 UTC Syncing #13272004 0x0f37…5cce     0.26 blk/s   29.1 tx/s    3.4 Mgas/s      0+    8 Qed Ancient:#5565363 LI:#13272013    1/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:10:58 UTC Syncing #13272004 0x0f37…5cce     0.30 blk/s   34.2 tx/s    4.0 Mgas/s      0+    8 Qed Ancient:#5565363 LI:#13272013    1/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:10:58 UTC Syncing #13272004 0x0f37…5cce     0.20 blk/s   22.8 tx/s    2.7 Mgas/s      0+    8 Qed Ancient:#5565363 LI:#13272013    1/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:11:01 UTC Syncing #13272005 0x5de1…f9bf     0.31 blk/s   92.2 tx/s    9.2 Mgas/s      0+    7 Qed Ancient:#5565363 LI:#13272013    0/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:11:06 UTC Syncing #13272005 0x5de1…f9bf     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5565363 LI:#13272013    0/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:11:11 UTC Syncing #13272007 0x2cb1…264f     0.40 blk/s   31.6 tx/s    3.7 Mgas/s      0+    5 Qed Ancient:#5565363 LI:#13272013    0/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:11:16 UTC Syncing #13272007 0x2cb1…264f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5565363 LI:#13272013    0/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:11:21 UTC Syncing #13272007 0x2cb1…264f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5565363 LI:#13272013    0/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:11:26 UTC Syncing #13272007 0x2cb1…264f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5565363 LI:#13272013    0/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:11:35 UTC Syncing #13272007 0x2cb1…264f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5565363 LI:#13272013    0/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:11:36 UTC Syncing #13272008 0xe61a…828b     0.20 blk/s  142.0 tx/s    6.0 Mgas/s      0+    4 Qed Ancient:#5565363 LI:#13272013    0/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:11:47 UTC Syncing #13272008 0xe61a…828b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#5565363 LI:#13272013    0/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:11:47 UTC Syncing #13272008 0xe61a…828b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#5565363 LI:#13272013    0/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:12:00 UTC Syncing #13272009 0x7a4f…fde0     0.10 blk/s   22.7 tx/s    2.5 Mgas/s      0+   17 Qed Ancient:#5565363 LI:#13272027    1/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:12:01 UTC Syncing #13272010 0xada5…32bc     0.20 blk/s   29.4 tx/s    2.7 Mgas/s      0+   16 Qed Ancient:#5565363 LI:#13272027    0/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:12:13 UTC Syncing #13272010 0xada5…32bc     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#5565363 LI:#13272027    0/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:12:13 UTC Syncing #13272010 0xada5…32bc     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#5565363 LI:#13272027    0/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:12:16 UTC Syncing #13272011 0xde62…80bd     0.20 blk/s   63.2 tx/s    6.0 Mgas/s      0+   15 Qed Ancient:#5565363 LI:#13272027    0/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:12:28 UTC Syncing #13272011 0xde62…80bd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#5565363 LI:#13272027    0/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:12:28 UTC Syncing #13272011 0xde62…80bd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#5565363 LI:#13272027    0/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:12:31 UTC Syncing #13272012 0xe496…bd9c     0.20 blk/s   67.0 tx/s    3.9 Mgas/s      0+   14 Qed Ancient:#5565363 LI:#13272027    0/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
