2021-09-21 23:13:59 UTC Syncing #13272020 0xf3b2…f106     0.20 blk/s   32.3 tx/s    3.2 Mgas/s      0+   18 Qed Ancient:#5565363 LI:#13272039    1/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:13:59 UTC Syncing #13272019 0x8a06…1c28     0.20 blk/s   57.8 tx/s    5.8 Mgas/s      0+   19 Qed Ancient:#5565363 LI:#13272039    1/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:14:10 UTC Syncing #13272021 0x9087…55ea     0.20 blk/s   13.7 tx/s    1.4 Mgas/s      0+   17 Qed Ancient:#5565363 LI:#13272039    1/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:14:10 UTC Syncing #13272021 0x9087…55ea     0.40 blk/s   27.4 tx/s    2.8 Mgas/s      0+   17 Qed Ancient:#5565363 LI:#13272039    1/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:14:19 UTC Syncing #13272022 0xccea…e5d7     0.10 blk/s   15.7 tx/s    1.3 Mgas/s      0+   16 Qed Ancient:#5565363 LI:#13272039    1/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:14:19 UTC Syncing #13272021 0x9087…55ea     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#5565363 LI:#13272039    1/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:14:26 UTC Syncing #13272022 0xccea…e5d7     0.20 blk/s   31.4 tx/s    2.7 Mgas/s      0+   16 Qed Ancient:#5565363 LI:#13272039    1/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:14:26 UTC Syncing #13272022 0xccea…e5d7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#5565363 LI:#13272039    1/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:14:41 UTC Syncing #13272023 0x1992…2b22     0.20 blk/s   58.2 tx/s    5.9 Mgas/s      0+   15 Qed Ancient:#5565363 LI:#13272039    1/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:14:41 UTC Syncing #13272023 0x1992…2b22     0.10 blk/s   29.1 tx/s    3.0 Mgas/s      0+   15 Qed Ancient:#5565363 LI:#13272039    1/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:14:41 UTC Syncing #13272023 0x1992…2b22     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#5565363 LI:#13272039    1/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:14:54 UTC Syncing #13272024 0xeaf9…bef0     0.10 blk/s   30.6 tx/s    3.0 Mgas/s      0+   14 Qed Ancient:#5565363 LI:#13272039    1/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:14:54 UTC Syncing #13272024 0xeaf9…bef0     0.20 blk/s   61.2 tx/s    6.0 Mgas/s      0+   14 Qed Ancient:#5565363 LI:#13272039    1/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
