2021-09-21 23:01:14 UTC Reorg to #13271975 0x1507…b387 (0x58e0…5cf2 #13271974 0x5a90…7df6 )
2021-09-21 23:04:11 UTC Syncing #13271982 0xc3ef…5dd1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#5561790 LI:#13271995   13/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:04:16 UTC Syncing #13271982 0xc3ef…5dd1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#5561790 LI:#13271997   15/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:04:21 UTC Syncing #13271982 0xc3ef…5dd1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#5561790 LI:#13271997   15/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:04:27 UTC Syncing #13271983 0x384a…fa46     0.20 blk/s   64.2 tx/s    6.0 Mgas/s      0+   14 Qed Ancient:#5561791 LI:#13271997   16/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:04:31 UTC Syncing #13271983 0x384a…fa46     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#5561791 LI:#13271998   15/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:04:40 UTC Syncing #13271983 0x384a…fa46     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#5561791 LI:#13271998   16/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:04:41 UTC Syncing #13271983 0x384a…fa46     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#5561791 LI:#13271999   15/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:04:53 UTC Syncing #13271983 0x384a…fa46     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#5561791 LI:#13272000   15/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:04:53 UTC Syncing #13271983 0x384a…fa46     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#5561791 LI:#13272000   15/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:05:01 UTC Syncing #13271983 0x384a…fa46     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#5561791 LI:#13272001   17/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:05:14 UTC Syncing #13271985 0x3284…31f9     0.17 blk/s   31.7 tx/s    2.9 Mgas/s      0+   18 Qed Ancient:#5561793 LI:#13272003   15/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:05:14 UTC Syncing #13271985 0x3284…31f9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#5561986 LI:#13272003   15/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:05:48 UTC Syncing #13271986 0x8742…ac92     0.04 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#5561988 LI:#13272007   14/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:05:48 UTC Syncing #13271986 0x8742…ac92     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#5561988 LI:#13272007   14/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:05:57 UTC Syncing #13271986 0x8742…ac92     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#5561988 LI:#13272007   13/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:05:57 UTC Syncing #13271986 0x8742…ac92     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#5561988 LI:#13272007   13/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:06:03 UTC Syncing #13271987 0xc38a…170b     0.23 blk/s   74.3 tx/s    6.9 Mgas/s      0+   20 Qed Ancient:#5561989 LI:#13272008   13/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:06:06 UTC Syncing #13271987 0xc38a…170b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#5561989 LI:#13272008   13/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
