2021-05-09 11:21:52 UTC Syncing #12399709 0xfb11…6c94     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  175 Qed Ancient:#12135598 LI:#12399878   29/50 peers   728 bytes chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:21:56 UTC Syncing #12399709 0xfb11…6c94     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  176 Qed Ancient:#12135598 LI:#12399880   29/50 peers    561 KiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:22:01 UTC Syncing #12399710 0xd9cd…d874     0.20 blk/s   40.2 tx/s    3.0 Mgas/s      0+  176 Qed Ancient:#12135598 LI:#12399881   29/50 peers    636 KiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:22:06 UTC Syncing #12399711 0x9f8e…e54d     0.20 blk/s   49.0 tx/s    3.0 Mgas/s      0+  175 Qed Ancient:#12135598 LI:#12399882   30/50 peers    653 KiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:22:11 UTC Syncing #12399712 0xe4c1…66b3     0.20 blk/s   38.6 tx/s    3.0 Mgas/s      0+  176 Qed Ancient:#12135598 LI:#12399883   30/50 peers    740 KiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:22:16 UTC Syncing #12399712 0xe4c1…66b3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  177 Qed Ancient:#12135598 LI:#12399884   30/50 peers    740 KiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:22:21 UTC Syncing #12399713 0xc99b…02e6     0.20 blk/s   52.4 tx/s    3.0 Mgas/s      0+  176 Qed Ancient:#12135598 LI:#12399884   31/50 peers    870 KiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:22:26 UTC Syncing #12399714 0xe281…0620     0.20 blk/s   35.4 tx/s    3.0 Mgas/s      0+  176 Qed Ancient:#12135598 LI:#12399885   31/50 peers    926 KiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:22:31 UTC Syncing #12399715 0xddeb…80a6     0.20 blk/s   37.0 tx/s    3.0 Mgas/s      0+  175 Qed Ancient:#12135598 LI:#12399885   31/50 peers    926 KiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:22:36 UTC Syncing #12399715 0xddeb…80a6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  175 Qed Ancient:#12135598 LI:#12399885   31/50 peers    981 KiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
