2021-10-01 20:35:01 UTC Syncing #13335630 0x4d74…6128     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11187169 LI:#13335636   28/50 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:35:07 UTC Syncing #13335630 0x4d74…6128     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11187169 LI:#13335636   29/50 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:35:11 UTC Syncing #13335630 0x4d74…6128     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11187169 LI:#13335636   29/50 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:35:16 UTC Syncing #13335631 0x98f5…a703     0.20 blk/s   17.8 tx/s    2.0 Mgas/s      0+    4 Qed Ancient:#11187170 LI:#13335636   29/50 peers      3 MiB chain  884 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:35:21 UTC Syncing #13335631 0x98f5…a703     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11187170 LI:#13335637   29/50 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:35:26 UTC Syncing #13335631 0x98f5…a703     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11187170 LI:#13335638   29/50 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:35:31 UTC Syncing #13335631 0x98f5…a703     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11187170 LI:#13335638   28/50 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:35:36 UTC Syncing #13335631 0x98f5…a703     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11187170 LI:#13335638   27/50 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:35:41 UTC Syncing #13335632 0xcafe…6485     0.20 blk/s   26.8 tx/s    2.7 Mgas/s      0+    5 Qed Ancient:#11187171 LI:#13335638   28/50 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:35:46 UTC Syncing #13335632 0xcafe…6485     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11187171 LI:#13335638   27/50 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
