2021-05-09 10:40:46 UTC Syncing #12399475 0x70ff…7c55     0.20 blk/s   28.6 tx/s    3.0 Mgas/s      0+  190 Qed Ancient:#12118719 LI:#12399666   26/50 peers    973 KiB chain   43 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:40:51 UTC Syncing #12399475 0x70ff…7c55     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  190 Qed Ancient:#12118719 LI:#12399666   25/25 peers    973 KiB chain   43 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:40:56 UTC Syncing #12399476 0x31e7…1e19     0.20 blk/s   30.4 tx/s    3.0 Mgas/s      0+  189 Qed Ancient:#12118719 LI:#12399666   26/50 peers    973 KiB chain   43 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:41:01 UTC Syncing #12399476 0x31e7…1e19     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  189 Qed Ancient:#12118719 LI:#12399666   26/50 peers    973 KiB chain   43 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:41:06 UTC Syncing #12399476 0x31e7…1e19     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  189 Qed Ancient:#12118719 LI:#12399666   26/50 peers    973 KiB chain   43 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:41:11 UTC Syncing #12399478 0xfb98…5a93     0.40 blk/s   82.6 tx/s    6.0 Mgas/s      0+  187 Qed Ancient:#12118719 LI:#12399666   27/50 peers    974 KiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:41:16 UTC Syncing #12399478 0xfb98…5a93     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  187 Qed Ancient:#12118719 LI:#12399666   27/50 peers    974 KiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:41:21 UTC Syncing #12399479 0x35b4…236a     0.20 blk/s   68.8 tx/s    3.0 Mgas/s      0+  186 Qed Ancient:#12118719 LI:#12399666   27/50 peers    974 KiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:41:26 UTC Syncing #12399479 0x35b4…236a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  186 Qed Ancient:#12118719 LI:#12399666   26/50 peers    974 KiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:41:31 UTC Syncing #12399479 0x35b4…236a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  186 Qed Ancient:#12118719 LI:#12399666   25/25 peers    974 KiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:41:36 UTC Syncing #12399480 0x858a…91d6     0.20 blk/s   37.2 tx/s    2.9 Mgas/s      0+  185 Qed Ancient:#12118719 LI:#12399666   25/25 peers    974 KiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:41:41 UTC Syncing #12399480 0x858a…91d6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  185 Qed Ancient:#12118719 LI:#12399666   25/25 peers    974 KiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:41:46 UTC Syncing #12399481 0xfc43…baef     0.20 blk/s   47.4 tx/s    3.0 Mgas/s      0+  184 Qed Ancient:#12118719 LI:#12399666   25/25 peers    974 KiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
