2021-09-22 05:02:43 UTC Syncing #13273577 0x8eef…1369     0.20 blk/s   31.4 tx/s    3.8 Mgas/s      0+    6 Qed Ancient:#5722594 LI:#13273584    2/25 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:03:28 UTC Imported #13273586 0x20f4…2bc3 (25 txs, 3.09 Mgas, 607 ms, 90.22 KiB)
2021-09-22 05:03:28 UTC  Ancient:#5725210 AB:#5725210    0/25 peers    0 bytes chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:04:02 UTC  Ancient:#5725210 AB:#5725210    0/25 peers   744 bytes chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:04:32 UTC Syncing #13273586 0x20f4…2bc3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5725210 LI:#13273595    5/25 peers     74 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:04:38 UTC Syncing #13273586 0x20f4…2bc3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5725210 LI:#13273595    7/25 peers     74 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:04:42 UTC Syncing #13273586 0x20f4…2bc3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5725210 LI:#13273596    9/25 peers     74 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:04:47 UTC Syncing #13273586 0x20f4…2bc3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5725210 LI:#13273596   10/25 peers     74 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:04:52 UTC Syncing #13273586 0x20f4…2bc3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5725210 LI:#13273596   10/25 peers     74 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:04:57 UTC Syncing #13273588 0x1ebc…b18a     0.40 blk/s   47.8 tx/s    4.1 Mgas/s      0+    7 Qed Ancient:#5725212 LI:#13273596   10/25 peers    625 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:05:10 UTC Syncing #13273589 0x84cc…f5f4     0.10 blk/s    3.9 tx/s    0.3 Mgas/s      0+    7 Qed Ancient:#5725213 LI:#13273597    8/25 peers    626 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:05:10 UTC Syncing #13273589 0x84cc…f5f4     0.20 blk/s    7.8 tx/s    0.6 Mgas/s      0+    7 Qed Ancient:#5725213 LI:#13273597    8/25 peers    626 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
